RVLVKAEMEKFLQD	1705.9307
1221.5826	NH3_7
1093.4877	NH3_9
910.4344	y_6
369.2614	b_2
352.23495	NH3_5
238.16682	H2O_3
1166.672	H2O_19
1038.577	H2O_17
1314.7245	NH3_21
649.4514	H2O_11
1426.8246	H2O_23
568.4299	CO_9
909.5345	H2O_15
762.36743	NH3_15
667.4619	b_5
505.2299	NH3_19
1022.45056	NH3_11
375.18796	y_10
1572.8937	b_12
927.545	b_7
117.01886	NH3_25
134.04533	y_12
358.1615	NH3_21
579.3983	NH3_9
768.5096	CO_13
129.11403	CO_1
1313.7405	H2O_21
1156.6876	CO_19
1028.5927	CO_17
1416.8402	CO_23
239.15086	NH3_3
779.478	NH3_13
1549.83	y_0
139.09842	H2O_1
633.3248	NH3_17
1450.7616	y_1
1039.477	y_5
1555.8672	NH3_25
893.4079	NH3_13
1303.7561	CO_21
639.467	CO_11
440.33493	CO_7
1184.6825	b_9
1056.5875	b_8
899.55005	CO_15
779.3939	y_7
1337.6775	y_2
1444.8351	b_11
450.31934	H2O_7
157.10893	b_0
578.4143	H2O_9
1554.8832	H2O_25
1532.8035	NH3_1
1110.5142	y_4
256.17734	b_1
1238.6091	y_3
650.4354	NH3_11
1433.7351	NH3_3
596.4248	b_4
910.5185	NH3_15
468.32983	b_3
341.2665	CO_5
140.08246	NH3_1
778.494	H2O_13
451.30338	NH3_7
1331.751	b_10
351.25092	H2O_5
245.07744	NH3_23
796.5045	b_6
1167.656	NH3_19
1039.561	NH3_17
228.18243	CO_3
650.3513	y_8
1320.651	NH3_5
522.25635	y_9
1544.8988	CO_25
1427.8086	NH3_23
262.1039	y_11
